"Order was canceled with Checkout by Amazon.","A ordem foi cancelada com check-out pela Amazon."
"Payment Action","Ação de pagamento"
"Payment Description","Descrição de pagamento"
"Payment Sandbox Service URI","Pagamento Sandbox serviço URI"
"Payment Service URI","Pagamento serviço URI"
"Payment authorization canceled with Amazon Simple Pay service.","Autorização de pagamento cancelado com serviço Amazon simples pagar."
"Pending Amazon Simple Pay","Simples pagamento pendente Amazon"
"Redirect Message","Mensagem de redirecionamento"
"Refund Description","Descrição de restituição"
"Refund was created with Checkout by Amazon.","Restituição foi criada com check-out pela Amazon."
"Report Email","Relatório de E-mail"
"Report Error to Email","Relatório de erro para o E-mail"
"Response body is not a valid FPS response.","Corpo de resposta não é uma resposta válida do FPS."
SUCCESS,SUCESSO
Sandbox,"Caixa de areia"
"Secret Key","Chave secreta"
"Secret Key ID","ID de chave secreta"
"Shipment was created with Checkout by Amazon.","Expedição foi criada com check-out pela Amazon."
"Thank you for your purchase!","Obrigado por sua compra!"
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","O cliente tem cancelado o pagamento e retornado com êxito do site Amazon simples pagar"
"The customer has successfully returned from Amazon Simple Pay site","O cliente tem retornado com êxito do site Amazon simples pagar"
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","A factura foi criada (captura on-line). Aguardando pela captura do serviço Amazon simples pagar."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","A factura não foi devolvida. Erro de serviço Amazon simples pagar: [%s] %s"
"The item specified in callback request XML was not found in quote.","O item especificado na solicitação de retorno de chamada XML não foi encontrado na citação."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","A ordem não foi cancelada. Erro de serviço Amazon simples pagar: [%s] %s"
"The order was not captured online. Authorization confirmation is required.","A ordem não foi capturada on-line. Confirmação de autorização é necessária."
"The order was not captured. Amazon Simple Pay service error: [%s] %s","A ordem não foi capturada. Erro de serviço Amazon simples pagar: [%s] %s"
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.","O pagamento foi capturado on-line com serviço Amazon simples pagar. A factura foi criada. Aguardando pela captura do serviço de pagamento."
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.","O pagamento foi devolvido on-line com serviço Amazon simples pagar. A nota de crédito foi criada. Esperando confirmação do reembolso do serviço Amazon simples pagar."
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.","O pagamento foi devolvido on-line. Esperando confirmação do reembolso do serviço Amazon simples pagar."
"The request is not a valid IPN request.","A solicitação não é um pedido válido do IPN."
"The request was signed incorrectly or the signature is missing.","O pedido foi assinado incorretamente ou a assinatura está falta."
Title,Título
"Use Callback API","Use o retorno de chamada de API"
"You will be redirected to Checkout by Amazon in a few seconds.","Você será redirecionado para o check-out pela Amazon em poucos segundos."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação de ordem com detalhes do seu pedido e um link para acompanhar o seu progresso."
"You will receive an order confirmation email with details of your order and a link to track its progress.<br/>","Você receberá um e-mail de confirmação de ordem com detalhes do seu pedido e um link para acompanhar o seu progresso. <br/>"
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.","Seu endereço de cobrança será ignorado e será redirecionado para o check-out pelo site da Amazon."
"Your order has been received.","Seu pedido foi recebido."
